category,informationType,informativeness,sharingOwner,sharingOthers,age,gender,privacyNum,concern0,concern1,concern2,concern3,platform,extraversion,agreeableness,conscientiousness,neuroticism,openness,frequency,imagePath,originCategory,datasetName,id
Boy,"[1, 0, 0, 0, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,011417767312812e.jpg,Boy,OpenImages,011417767312812e_Boy
Human arm,"[0, 0, 1, 0, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,011417767312812e.jpg,Human arm,OpenImages,011417767312812e_Human arm
Man,"[1, 1, 1, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,011417767312812e.jpg,Man,OpenImages,011417767312812e_Man
Human face,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Male,2,6,6,4,6,CrowdWorks,5,6,6,7,7,1,19e3ac5e567dbd8a.jpg,Human face,OpenImages,19e3ac5e567dbd8a_Human face
street_sign,"[0, 1, 0, 0, 0, 0]",1,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",42,Male,9,6,6,5,6,CrowdWorks,8,4,6,4,4,1,117922.jpg,street_sign,LVIS,117922_street_sign
Person,"[1, 0, 1, 1, 0, 0]",4,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",34,Male,4,6,5,3,6,CrowdWorks,6,6,5,9,9,2,02b85aaf5e24630e.jpg,Person,OpenImages,02b85aaf5e24630e_Person
car_(automobile),"[0, 1, 0, 0, 1, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Male,9,6,6,5,6,CrowdWorks,8,4,6,4,4,1,116740.jpg,car_(automobile),LVIS,116740_car_(automobile)
Computer monitor,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",44,Female,5,5,6,3,6,CrowdWorks,8,4,6,4,10,3,7408fef212a5d3bc.jpg,Computer monitor,OpenImages,7408fef212a5d3bc_Computer monitor
Laptop,"[0, 0, 0, 1, 1, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",44,Female,5,5,6,3,6,CrowdWorks,8,4,6,4,10,3,7408fef212a5d3bc.jpg,Laptop,OpenImages,7408fef212a5d3bc_Laptop
laptop_computer,"[0, 0, 0, 1, 1, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",35,Female,2,5,5,5,5,CrowdWorks,4,5,9,8,9,1,143186.jpg,laptop_computer,LVIS,143186_laptop_computer
cigarette,"[0, 0, 0, 1, 0, 0]",0,"[0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0]",38,Female,9,7,7,5,7,CrowdWorks,7,3,9,7,8,1,154644.jpg,cigarette,LVIS,154644_cigarette
cellular_telephone,"[0, 0, 0, 1, 0, 0]",0,"[0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 1, 0]",38,Female,9,7,7,5,7,CrowdWorks,7,3,9,7,8,1,154644.jpg,cellular_telephone,LVIS,154644_cellular_telephone
Office building,"[0, 1, 0, 1, 1, 0]",4,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,47f9deda0eede138.jpg,Office building,OpenImages,47f9deda0eede138_Office building
Skyscraper,"[0, 1, 0, 0, 0, 0]",4,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,47f9deda0eede138.jpg,Skyscraper,OpenImages,47f9deda0eede138_Skyscraper
coat,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,9,7,7,5,7,CrowdWorks,7,3,9,7,8,1,121393.jpg,coat,LVIS,121393_coat
dispenser,"[0, 0, 0, 1, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,181859.jpg,dispenser,LVIS,181859_dispenser
sink,"[0, 1, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,181859.jpg,sink,LVIS,181859_sink
Person,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Male,2,6,6,4,6,CrowdWorks,5,6,6,7,7,1,3cf84110ea52ff43.jpg,Person,OpenImages,3cf84110ea52ff43_Person
Mammal,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",38,Male,2,6,6,4,6,CrowdWorks,5,6,6,7,7,1,3cf84110ea52ff43.jpg,Mammal,OpenImages,3cf84110ea52ff43_Mammal
signboard,"[0, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",26,Female,7,5,5,5,5,CrowdWorks,6,6,7,6,7,1,1011.jpg,signboard,LVIS,1011_signboard
Human face,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,1fe277f5abfc7d74.jpg,Human face,OpenImages,1fe277f5abfc7d74_Human face
Girl,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,1fe277f5abfc7d74.jpg,Girl,OpenImages,1fe277f5abfc7d74_Girl
Woman,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,1fe277f5abfc7d74.jpg,Woman,OpenImages,1fe277f5abfc7d74_Woman
Human head,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,1fe277f5abfc7d74.jpg,Human head,OpenImages,1fe277f5abfc7d74_Human head
Person,"[1, 0, 0, 0, 1, 0]",1,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",38,Female,8,2,2,7,6,CrowdWorks,5,5,6,9,2,0,0175f160ca091e7e.jpg,Person,OpenImages,0175f160ca091e7e_Person
Person,"[1, 1, 1, 1, 1, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",39,Female,7,6,7,3,7,CrowdWorks,6,6,8,9,8,1,15e2134bf1363429.jpg,Person,OpenImages,15e2134bf1363429_Person
Vehicle registration plate,"[1, 0, 0, 0, 1, 0]",5,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",44,Female,5,5,6,3,6,CrowdWorks,8,4,6,4,10,3,0443efb101717113.jpg,Vehicle registration plate,OpenImages,0443efb101717113_Vehicle registration plate
Human face,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,177bf73e23ce2913.jpg,Human face,OpenImages,177bf73e23ce2913_Human face
Human eye,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",45,Other,6,5,5,5,5,CrowdWorks,5,6,7,7,9,1,177bf73e23ce2913.jpg,Human eye,OpenImages,177bf73e23ce2913_Human eye
identity,"[1, 0, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",32,Female,7,6,6,5,6,CrowdWorks,6,6,6,9,9,1,02f4ebb9043ee62a.jpg,identity,OpenImages,02f4ebb9043ee62a_identity
underwear,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,263604.jpg,underwear,LVIS,263604_underwear
brassiere,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,263604.jpg,brassiere,LVIS,263604_brassiere
person,"[1, 1, 1, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,5,7,2,5,2,CrowdWorks,3,6,10,7,9,1,141382.jpg,person,LVIS,141382_person
Human hair,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Human hair,OpenImages,3fe67f409f9db441_Human hair
Human leg,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Human leg,OpenImages,3fe67f409f9db441_Human leg
Girl,"[0, 0, 0, 1, 0, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Girl,OpenImages,3fe67f409f9db441_Girl
Clothing,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Clothing,OpenImages,3fe67f409f9db441_Clothing
Human body,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Human body,OpenImages,3fe67f409f9db441_Human body
Human head,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Human head,OpenImages,3fe67f409f9db441_Human head
Mammal,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Mammal,OpenImages,3fe67f409f9db441_Mammal
Laptop,"[0, 0, 0, 1, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Laptop,OpenImages,3fe67f409f9db441_Laptop
Toy,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Toy,OpenImages,3fe67f409f9db441_Toy
Human arm,"[0, 0, 0, 1, 0, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",40,Male,9,6,5,4,7,CrowdWorks,5,9,5,3,7,2,3fe67f409f9db441.jpg,Human arm,OpenImages,3fe67f409f9db441_Human arm
Human face,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,9,7,7,5,7,CrowdWorks,7,3,9,7,8,1,0e50ea14c4fc1353.jpg,Human face,OpenImages,0e50ea14c4fc1353_Human face
Person,"[1, 0, 0, 0, 0, 0]",6,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",38,Female,9,7,7,5,7,CrowdWorks,7,3,9,7,8,1,0e50ea14c4fc1353.jpg,Person,OpenImages,0e50ea14c4fc1353_Person
identity,"[0, 1, 0, 1, 0, 0]",4,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",32,Male,8,5,6,4,5,CrowdWorks,7,5,5,8,2,3,00a0ab30f64c0096.jpg,identity,OpenImages,00a0ab30f64c0096_identity
cat,"[0, 0, 0, 1, 0, 0]",6,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",39,Female,7,6,7,3,7,CrowdWorks,6,6,8,9,8,1,103877.jpg,cat,LVIS,103877_cat
bath_mat,"[0, 0, 0, 1, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 1, 1, 0, 0, 0]",39,Female,7,6,7,3,7,CrowdWorks,6,6,8,9,8,1,103877.jpg,bath_mat,LVIS,103877_bath_mat
Human face,"[1, 0, 0, 0, 0, 0]",6,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",48,Male,9,7,7,7,7,CrowdWorks,4,2,8,7,9,3,02879d3014b69b1f.jpg,Human face,OpenImages,02879d3014b69b1f_Human face
Human body,"[1, 0, 0, 0, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Male,9,6,6,5,6,CrowdWorks,8,4,6,4,4,1,b79453af8f7830a3.jpg,Human body,OpenImages,b79453af8f7830a3_Human body
Cosmetics,"[1, 0, 0, 1, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",42,Male,9,6,6,5,6,CrowdWorks,8,4,6,4,4,1,b79453af8f7830a3.jpg,Cosmetics,OpenImages,b79453af8f7830a3_Cosmetics
Fax,"[0, 1, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,4babec5c7441cf9a.jpg,Fax,OpenImages,4babec5c7441cf9a_Fax
Office building,"[0, 1, 0, 0, 0, 0]",0,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",27,Female,9,7,7,7,7,CrowdWorks,8,3,7,6,10,2,4babec5c7441cf9a.jpg,Office building,OpenImages,4babec5c7441cf9a_Office building
laptop_computer,"[0, 0, 0, 0, 1, 0]",4,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",48,Male,3,5,6,5,5,CrowdWorks,5,6,7,9,8,1,164453.jpg,laptop_computer,LVIS,164453_laptop_computer
monitor_(computer_equipment) computer_monitor,"[0, 0, 0, 1, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",48,Male,3,5,6,5,5,CrowdWorks,5,6,7,9,8,1,164453.jpg,monitor_(computer_equipment) computer_monitor,LVIS,164453_monitor_(computer_equipment) computer_monitor
tennis_racket,"[0, 0, 0, 1, 0, 0]",0,"[0, 1, 1, 1, 1, 1, 0]","[0, 1, 1, 1, 1, 0, 0]",41,Male,6,5,5,3,5,CrowdWorks,9,8,6,4,8,3,128281.jpg,tennis_racket,LVIS,128281_tennis_racket
Human body,"[0, 0, 0, 0, 1, 0]",1,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Male,5,7,7,4,7,CrowdWorks,4,6,8,7,5,1,5f69c551dcb4a8eb.jpg,Human body,OpenImages,5f69c551dcb4a8eb_Human body
Man,"[0, 0, 0, 0, 1, 0]",1,"[0, 1, 1, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Male,5,7,7,4,7,CrowdWorks,4,6,8,7,5,1,5f69c551dcb4a8eb.jpg,Man,OpenImages,5f69c551dcb4a8eb_Man
license_plate,"[1, 1, 0, 1, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",52,Female,10,6,6,4,5,CrowdWorks,5,6,7,5,8,1,13815.jpg,license_plate,LVIS,13815_license_plate
pipe,"[0, 1, 0, 0, 0, 0]",3,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",52,Female,10,6,6,4,5,CrowdWorks,5,6,7,5,8,1,13815.jpg,pipe,LVIS,13815_pipe
motorcycle,"[0, 0, 0, 0, 1, 0]",3,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",30,Male,10,1,1,4,1,CrowdWorks,7,4,7,4,4,1,171548.jpg,motorcycle,LVIS,171548_motorcycle
streetlight,"[0, 1, 0, 0, 0, 0]",1,"[0, 0, 0, 1, 0, 0, 0]","[0, 0, 0, 1, 0, 0, 0]",30,Male,10,1,1,4,1,CrowdWorks,7,4,7,4,4,1,171548.jpg,streetlight,LVIS,171548_streetlight
Person,"[1, 0, 0, 0, 0, 0]",3,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",40,Female,8,6,6,5,6,CrowdWorks,7,5,7,7,8,4,79ca3f2ab67af190.jpg,Person,OpenImages,79ca3f2ab67af190_Person
Dog,"[1, 0, 0, 0, 0, 0]",4,"[0, 1, 1, 1, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",35,Female,7,7,7,2,7,CrowdWorks,5,8,3,4,5,0,030033e1b4137e3b.jpg,Dog,OpenImages,030033e1b4137e3b_Dog
book,"[0, 0, 0, 1, 0, 0]",5,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",38,Female,8,2,2,7,6,CrowdWorks,5,5,6,9,2,0,231351.jpg,book,LVIS,231351_book
toy,"[0, 0, 0, 1, 0, 0]",6,"[0, 0, 1, 0, 0, 0, 0]","[0, 0, 1, 0, 0, 0, 0]",38,Female,8,2,2,7,6,CrowdWorks,5,5,6,9,2,0,231351.jpg,toy,LVIS,231351_toy
identity,"[1, 1, 0, 0, 0, 0]",5,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",22,Female,5,7,7,5,7,CrowdWorks,3,9,7,9,9,2,1ab7ee05996182cd.jpg,identity,OpenImages,1ab7ee05996182cd_identity
Porch,"[0, 1, 0, 0, 0, 0]",2,"[0, 1, 1, 0, 0, 0, 0]","[0, 1, 1, 0, 0, 0, 0]",42,Male,9,6,6,5,6,CrowdWorks,8,4,6,4,4,1,24c7ebbfb72cfd8b.jpg,Porch,OpenImages,24c7ebbfb72cfd8b_Porch
book,"[0, 0, 0, 1, 0, 0]",2,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,4,4,5,5,5,CrowdWorks,5,6,7,5,8,0,176415.jpg,book,LVIS,176415_book
magazine,"[0, 0, 0, 1, 0, 0]",1,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,4,4,5,5,5,CrowdWorks,5,6,7,5,8,0,176415.jpg,magazine,LVIS,176415_magazine
Human face,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[0, 1, 0, 1, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human face,OpenImages,248b5f914b325928_Human face
Human hair,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human hair,OpenImages,248b5f914b325928_Human hair
Glasses,"[1, 0, 0, 0, 0, 0]",2,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Glasses,OpenImages,248b5f914b325928_Glasses
Furniture,"[0, 0, 0, 1, 0, 0]",3,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Furniture,OpenImages,248b5f914b325928_Furniture
Human body,"[1, 0, 0, 0, 0, 0]",0,"[1, 0, 0, 0, 0, 0, 0]","[1, 0, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human body,OpenImages,248b5f914b325928_Human body
Human head,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 1, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human head,OpenImages,248b5f914b325928_Human head
Human ear,"[1, 0, 0, 0, 0, 0]",1,"[0, 0, 0, 0, 1, 0, 0]","[0, 0, 0, 0, 1, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Human ear,OpenImages,248b5f914b325928_Human ear
Boy,"[1, 0, 0, 0, 0, 0]",0,"[0, 1, 0, 0, 0, 0, 0]","[0, 1, 0, 0, 0, 0, 0]",46,Female,9,5,6,6,6,CrowdWorks,5,5,3,8,5,1,248b5f914b325928.jpg,Boy,OpenImages,248b5f914b325928_Boy
